shrinkage,interaction.depth,n.minobsinnode,n.trees,Accuracy,Kappa,AccuracySD,KappaSD,rho
0.01,1,3,80,0.7672222222222222,0.6477509157509157,0.07823717940612769,0.11641425872557003,0
0.01,1,5,80,0.7905555555555556,0.6832987012987013,0.12554544917262475,0.188448291333524,0
0.01,1,10,80,0.7894444444444444,0.6824175824175824,0.11968322386230276,0.18073952802063337,0
0.01,2,3,80,0.7794444444444444,0.6666833166833166,0.10874171207558907,0.16447855936896738,0
0.01,2,5,80,0.7694444444444444,0.6516483516483516,0.14932977839684014,0.22798548400086757,0
0.01,2,10,80,0.7594444444444445,0.6363290043290043,0.17897072738859485,0.26949073141017343,0
0.01,3,3,80,0.7916666666666666,0.684981684981685,0.14886977028531043,0.2277175460806868,0
0.01,3,5,80,0.7694444444444444,0.6516483516483517,0.1582493821189046,0.2411435680694857,0
0.01,3,10,80,0.7694444444444444,0.6503150183150183,0.1493297783968401,0.22684098576145453,0
0.01,5,3,80,0.7461111111111111,0.6191558441558441,0.08123067460369048,0.12362578529946958,0
0.01,5,5,80,0.7583333333333333,0.6361721611721611,0.14347370865578757,0.21937201356512817,0
0.01,5,10,80,0.736111111111111,0.6016483516483516,0.13811512861274347,0.21081859907404749,0
0.01,1,3,120,0.7683333333333333,0.649965367965368,0.13633579339143034,0.2041642296701332,0
0.01,1,5,120,0.8127777777777777,0.7179653679653679,0.1598621233785029,0.24095974621368926,0
0.01,1,10,120,0.8005555555555556,0.699084249084249,0.13421646827663494,0.20256857363134592,0
0.01,2,3,120,0.7794444444444444,0.6679653679653679,0.1315740414939882,0.19844076936415686,0
